feature_ind,sketch_id
173,6786-9c3169eb-962e-468b-8922-b99247975eb2_18
174,6786-9c3169eb-962e-468b-8922-b99247975eb2_20
175,6786-9c3169eb-962e-468b-8922-b99247975eb2_25
176,6786-9c3169eb-962e-468b-8922-b99247975eb2_29
177,6786-9c3169eb-962e-468b-8922-b99247975eb2_5
178,7106-d5bbcf75-2894-4656-b1bd-19e73abf8a17_1
179,7106-d5bbcf75-2894-4656-b1bd-19e73abf8a17_15
180,7106-d5bbcf75-2894-4656-b1bd-19e73abf8a17_4
181,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_10
182,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_2
183,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_23
184,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_3
185,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_31
186,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_8
187,7285-f99d9991-de84-43cc-b359-e9de387ab0b5_9
188,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_16
189,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_22
190,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_25
191,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_26
192,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_6
193,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_9
194,8154-5d8b5091-2c29-4502-9719-1b295ff55c49_15
195,8154-5d8b5091-2c29-4502-9719-1b295ff55c49_2
196,8154-5d8b5091-2c29-4502-9719-1b295ff55c49_22
197,8154-5d8b5091-2c29-4502-9719-1b295ff55c49_24
198,8154-5d8b5091-2c29-4502-9719-1b295ff55c49_9
199,8265-92081336-152b-4a90-bdb4-fea038f4c9b8_13
200,8265-92081336-152b-4a90-bdb4-fea038f4c9b8_25
201,8265-92081336-152b-4a90-bdb4-fea038f4c9b8_3
202,8265-92081336-152b-4a90-bdb4-fea038f4c9b8_30
203,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_15
204,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_18
205,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_3
206,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_32
207,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_5
208,8297-39d66207-4fb6-430c-8e2b-4f95213b6a55_9
209,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_1
210,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_15
211,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_2
212,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_20
213,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_24
214,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_5
215,8486-a0a44a5f-4eb9-4924-b2b6-247478e1ce8d_6
216,9229-923201c3-dd68-4362-8eec-77cb88a647c4_12
217,9229-923201c3-dd68-4362-8eec-77cb88a647c4_15
218,9229-923201c3-dd68-4362-8eec-77cb88a647c4_2
219,9229-923201c3-dd68-4362-8eec-77cb88a647c4_20
220,9229-923201c3-dd68-4362-8eec-77cb88a647c4_23
221,9229-923201c3-dd68-4362-8eec-77cb88a647c4_6
222,9229-923201c3-dd68-4362-8eec-77cb88a647c4_7
223,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_13
224,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_16
225,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_20
226,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_3
227,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_8
228,9877-e1c91119-da46-40fa-82fe-17405ca56a3b_19
229,9877-e1c91119-da46-40fa-82fe-17405ca56a3b_2
230,9877-e1c91119-da46-40fa-82fe-17405ca56a3b_25
231,9877-e1c91119-da46-40fa-82fe-17405ca56a3b_3
232,9877-e1c91119-da46-40fa-82fe-17405ca56a3b_4
